"Zip","Latitude","Longitude","LatLong","StateCode"
"94559",38.251876,-122.328443,"38.251876:-122.328443","CA"
"94560",37.520602,-122.049566,"37.520602:-122.049566","CA"
"94566",37.645309,-121.849650,"37.645309:-121.849650","CA"
"94574",38.552072,-122.409852,"38.552072:-122.409852","CA"
"94576",38.548180,-122.477769,"38.548180:-122.477769","CA"
"94581",38.297500,-122.284500,"38.297500:-122.284500","CA"
"94585",38.155588,-121.945124,"38.155588:-121.945124","CA"
"94589",38.138604,-122.252872,"38.138604:-122.252872","CA"
"94590",38.094644,-122.253858,"38.094644:-122.253858","CA"
"94591",38.113657,-122.197159,"38.113657:-122.197159","CA"
"94599",38.410768,-122.368092,"38.410768:-122.368092","CA"
"94806",37.980032,-122.333136,"37.980032:-122.333136","CA"
"94901",37.971938,-122.504395,"37.971938:-122.504395","CA"
"94903",38.023998,-122.540023,"38.023998:-122.540023","CA"
"94904",37.949868,-122.540733,"37.949868:-122.540733","CA"
"94920",37.886474,-122.462812,"37.886474:-122.462812","CA"
"94925",37.922463,-122.511149,"37.922463:-122.511149","CA"
"94930",37.966102,-122.645482,"37.966102:-122.645482","CA"
"94939",37.937842,-122.526643,"37.937842:-122.526643","CA"
"94940",38.197262,-122.887672,"38.197262:-122.887672","CA"
"94941",37.891792,-122.566862,"37.891792:-122.566862","CA"
"94945",38.131110,-122.552773,"38.131110:-122.552773","CA"
"94947",38.116726,-122.623298,"38.116726:-122.623298","CA"
"94949",38.069771,-122.544476,"38.069771:-122.544476","CA"
"94957",37.963900,-122.552600,"37.963900:-122.552600","CA"
"94960",37.992084,-122.581346,"37.992084:-122.581346","CA"
"95001",36.977400,-121.898500,"36.977400:-121.898500","CA"
"95008",37.279015,-121.956694,"37.279015:-121.956694","CA"
"95014",37.294256,-122.094441,"37.294256:-122.094441","CA"
"95020",37.020720,-121.572352,"37.020720:-121.572352","CA"
"95023",36.895630,-121.183732,"36.895630:-121.183732","CA"
"95030",37.226068,-121.988920,"37.226068:-121.988920","CA"
"95032",37.218742,-121.929452,"37.218742:-121.929452","CA"
"95033",37.170734,-121.981063,"37.170734:-121.981063","CA"
"95035",37.422039,-121.816591,"37.422039:-121.816591","CA"
"95037",37.168085,-121.627038,"37.168085:-121.627038","CA"
"95050",37.351479,-121.950818,"37.351479:-121.950818","CA"
"95051",37.350372,-121.984750,"37.350372:-121.984750","CA"
"95054",37.396312,-121.961396,"37.396312:-121.961396","CA"
"95066",37.072157,-122.007148,"37.072157:-122.007148","CA"
"95070",37.253774,-122.051155,"37.253774:-122.051155","CA"
"95110",37.342165,-121.906775,"37.342165:-121.906775","CA"
"95112",37.341544,-121.881824,"37.341544:-121.881824","CA"
"95116",37.349931,-121.850704,"37.349931:-121.850704","CA"
"95117",37.312676,-121.965784,"37.312676:-121.965784","CA"
"95118",37.255490,-121.889477,"37.255490:-121.889477","CA"
"95120",37.192676,-121.834112,"37.192676:-121.834112","CA"
"95122",37.330525,-121.838229,"37.330525:-121.838229","CA"
"95123",37.240714,-121.826883,"37.240714:-121.826883","CA"
"95124",37.255446,-121.925350,"37.255446:-121.925350","CA"
"95125",37.297218,-121.895102,"37.297218:-121.895102","CA"
"95126",37.324144,-121.915012,"37.324144:-121.915012","CA"
"95126",37.324144,-121.915012,"37.324144:-121.915012","TN"
"95127",37.373842,-121.793157,"37.373842:-121.793157","CA"
"95128",37.316284,-121.936394,"37.316284:-121.936394","CA"
"95130",37.285156,-121.977821,"37.285156:-121.977821","CA"
"95131",37.387448,-121.902260,"37.387448:-121.902260","CA"
"95132",37.408981,-121.827897,"37.408981:-121.827897","CA"
"95133",37.371640,-121.861195,"37.371640:-121.861195","CA"
"95135",37.275824,-121.714637,"37.275824:-121.714637","CA"
"95136",37.272482,-121.843473,"37.272482:-121.843473","CA"
"95138",37.248212,-121.735680,"37.248212:-121.735680","CA"
"95403",38.502811,-122.753536,"38.502811:-122.753536","CA"
"95476",38.245511,-122.462108,"38.245511:-122.462108","CA"
"95602",38.986902,-121.120194,"38.986902:-121.120194","CA"
"95603",38.919999,-121.074776,"38.919999:-121.074776","CA"
"95605",38.592520,-121.542299,"38.592520:-121.542299","CA"
"95608",38.623150,-121.328098,"38.623150:-121.328098","CA"
"95610",38.692609,-121.267626,"38.692609:-121.267626","CA"
"95612",38.408352,-121.577166,"38.408352:-121.577166","CA"
"95615",38.307161,-121.551749,"38.307161:-121.551749","CA"
"95616",38.562963,-121.816010,"38.562963:-121.816010","CA"
"95618",38.551484,-121.660290,"38.551484:-121.660290","CA"
"95620",38.395507,-121.817449,"38.395507:-121.817449","CA"
"95621",38.693223,-121.312214,"38.693223:-121.312214","CA"
"95624",38.443012,-121.299269,"38.443012:-121.299269","CA"
"95626",38.740202,-121.459544,"38.740202:-121.459544","CA"
"95628",38.649570,-121.254058,"38.649570:-121.254058","CA"
"95630",38.664532,-121.145000,"38.664532:-121.145000","CA"
"95632",38.273407,-121.224374,"38.273407:-121.224374","CA"
"95638",38.343778,-121.138638,"38.343778:-121.138638","CA"
"95648",38.931475,-121.323351,"38.931475:-121.323351","CA"
"95660",38.669679,-121.381308,"38.669679:-121.381308","CA"
"95661",38.743875,-121.258704,"38.743875:-121.258704","CA"
"95662",38.684442,-121.225163,"38.684442:-121.225163","CA"
"95663",38.853399,-121.180347,"38.853399:-121.180347","CA"
"95670",38.604760,-121.269191,"38.604760:-121.269191","CA"
"95672",38.728671,-120.993404,"38.728671:-120.993404","CA"
"95673",38.688777,-121.456792,"38.688777:-121.456792","CA"
"95678",38.763448,-121.279723,"38.763448:-121.279723","CA"
"95682",38.616424,-120.973156,"38.616424:-120.973156","CA"
"95683",38.514224,-121.125248,"38.514224:-121.125248","CA"
"95688",38.415742,-122.010393,"38.415742:-122.010393","CA"
"95691",38.629530,-121.586344,"38.629530:-121.586344","CA"
"95693",38.398772,-121.254699,"38.398772:-121.254699","CA"
"95694",38.577279,-122.010840,"38.577279:-122.010840","CA"
"95695",38.691881,-121.861588,"38.691881:-121.861588","CA"
"95742",38.581896,-121.206700,"38.581896:-121.206700","CA"
"95746",38.754388,-121.170859,"38.754388:-121.170859","CA"
"95747",38.784542,-121.373449,"38.784542:-121.373449","CA"
"95757",38.341726,-121.433934,"38.341726:-121.433934","CA"
"95758",38.432680,-121.439432,"38.432680:-121.439432","CA"
"95762",38.682678,-121.075501,"38.682678:-121.075501","CA"
"95765",38.817886,-121.276169,"38.817886:-121.276169","CA"
"95776",38.684834,-121.682390,"38.684834:-121.682390","CA"
"95776",38.684834,-121.682390,"38.684834:-121.682390","CO"
"95811",38.583952,-121.491028,"38.583952:-121.491028","CA"
"95814",38.581667,-121.495908,"38.581667:-121.495908","CA"
"95815",38.605700,-121.445876,"38.605700:-121.445876","CA"
"95816",38.575860,-121.464416,"38.575860:-121.464416","CA"
"95817",38.551659,-121.450744,"38.551659:-121.450744","CA"
"95818",38.557106,-121.497490,"38.557106:-121.497490","CA"
"95819",38.570932,-121.435773,"38.570932:-121.435773","CA"
"95820",38.538246,-121.446682,"38.538246:-121.446682","CA"
"95821",38.627822,-121.384332,"38.627822:-121.384332","CA"
"95822",38.513839,-121.498894,"38.513839:-121.498894","CA"
"95823",38.474242,-121.443101,"38.474242:-121.443101","CA"
"95824",38.517728,-121.440928,"38.517728:-121.440928","CA"
"95825",38.585164,-121.401198,"38.585164:-121.401198","CA"
"95826",38.549080,-121.383143,"38.549080:-121.383143","CA"
"95827",38.555802,-121.324214,"38.555802:-121.324214","CA"
"95828",38.488811,-121.402828,"38.488811:-121.402828","CA"
"95829",38.490801,-121.334852,"38.490801:-121.334852","CA"
"95831",38.491586,-121.531258,"38.491586:-121.531258","CA"
"95832",38.447962,-121.496765,"38.447962:-121.496765","CA"
"95833",38.613055,-121.514585,"38.613055:-121.514585","CA"
"95834",38.642109,-121.523052,"38.642109:-121.523052","CA"
"95835",38.670652,-121.525618,"38.670652:-121.525618","CA"
"95837",38.696054,-121.596083,"38.696054:-121.596083","CA"
"95843",38.715216,-121.356133,"38.715216:-121.356133","CA"
"95864",38.585315,-121.377632,"38.585315:-121.377632","CA"
"95932",39.256569,-122.065335,"39.256569:-122.065335","CA"
"95937",38.840418,-122.078514,"38.840418:-122.078514","CA"
"95970",39.407448,-122.073103,"39.407448:-122.073103","CA"
"95991",39.032378,-121.605116,"39.032378:-121.605116","CA"
"96701",21.396288,-157.896389,"21.396288:-157.896389","HI"
"96706",21.339912,-158.013128,"21.339912:-158.013128","HI"
"96707",21.374251,-158.081030,"21.374251:-158.081030","HI"
"96734",21.396104,-157.744706,"21.396104:-157.744706","HI"
"96744",21.449642,-157.827578,"21.449642:-157.827578","HI"
"96766",21.985465,-159.417695,"21.985465:-159.417695","HI"
"96782",21.412796,-157.924213,"21.412796:-157.924213","HI"
"96786",21.505834,-158.023342,"21.505834:-158.023342","HI"
"96789",21.451621,-157.952887,"21.451621:-157.952887","HI"
"96791",21.551553,-158.172907,"21.551553:-158.172907","HI"
"96792",21.465651,-158.153756,"21.465651:-158.153756","HI"
"96795",21.343676,-157.704184,"21.343676:-157.704184","HI"
"96797",21.414920,-158.032948,"21.414920:-158.032948","HI"
"96813",21.328602,-157.828594,"21.328602:-157.828594","HI"
"96814",21.293856,-157.846709,"21.293856:-157.846709","HI"
"96815",21.271982,-157.821362,"21.271982:-157.821362","HI"
"96816",21.295429,-157.789210,"21.295429:-157.789210","TX"
"96816",21.295429,-157.789210,"21.295429:-157.789210","HI"
"96817",21.338849,-157.837351,"21.338849:-157.837351","HI"
"96818",21.345634,-157.932287,"21.345634:-157.932287","HI"
"96819",21.350026,-157.879691,"21.350026:-157.879691","HI"
"96820",21.308500,-157.861700,"21.308500:-157.861700","HI"
"96821",21.299808,-157.751686,"21.299808:-157.751686","HI"
"96822",21.322174,-157.814104,"21.322174:-157.814104","OR"
"96822",21.322174,-157.814104,"21.322174:-157.814104","HI"
"96823",21.306900,-157.858400,"21.306900:-157.858400","HI"
"96825",21.290569,-157.685918,"21.290569:-157.685918","HI"
"96826",21.291944,-157.824506,"21.291944:-157.824506","HI"
"96828",21.306900,-157.858400,"21.306900:-157.858400","HI"
"96848",21.306900,-157.858400,"21.306900:-157.858400","HI"
"96931",13.483900,144.776900,"13.483900:144.776900","GU"
"97107",45.573931,-123.856938,"45.573931:-123.856938","NM"
"97306",44.843076,-123.089824,"44.843076:-123.089824","OR"
"98001",47.307492,-122.265910,"47.307492:-122.265910","WA"
"98003",47.307764,-122.311205,"47.307764:-122.311205","WA"
"98004",47.617746,-122.210797,"47.617746:-122.210797","WA"
"98005",47.620068,-122.173086,"47.620068:-122.173086","WA"
"98006",47.552758,-122.150589,"47.552758:-122.150589","WA"
"98007",47.619741,-122.142986,"47.619741:-122.142986","WA"
"98008",47.605630,-122.108288,"47.605630:-122.108288","WA"
